notification_type_id;notification_name;notification_class;short_info;long_info;description
6;AGSA_FAILED_BLOCKAGE;Warning;0;AGSA Blockage;AGSA driver\nfailed!\nBlockage!;AGSA motor drive has been stopped because of a blockage within drive system. Try to repeat action.
34;AGSA_FAILED_NO_DDD;Error;0;AGSA No DDD;AGSA driver\nfailed!\nNo DDD!;AGSA motor drive has been stopped because at least one DDD sensor is failed.
12;AGSA_FAILED_TIMEOUT;Warning;0;AGSA Timeout;AGSA driver\nfailed!\nTimeout!;AGSA motor drive has been stopped by timeout, because a complete AGSA move reaches timeout. Try to repeat action.
57;AGSA_FAULT_PIN_ACTIVE;Error;0;AGSA Fault Pin;AGSA stepper\nmotor driver pin\nindicates fault!;AGSA stepper motor driver chip indicates pin fault. Retry AGSA action or contact service if still present.
7;CHANGE_DISCS_INFO;Info;0;Grinding Discs;Change grinding\ndiscs!;Grinding discs life time has been exceeded. Exchange grinding discs and reset counter.
45;DB_ADD_DELTA_TO_COUNTER;Warning;0;DB Delta.Cnt. Failed;Database access\ndelta to counter\nfailed!;Internal database error. Incrementing of a counter has been failed.
44;DB_ADD_GRIND;Warning;0;DB Add Grind Failed;Database access\nadd grind\nfailed!;Internal database error. Adding a grind result into database failed.
42;DB_CHANGE_RECIPE;Warning;0;DB Chg.Recipe Failed;Database access\nchange recipe\nfailed!;Internal database error. Inserting a recipe change failed. 
48;DB_CREATE_NEW_SCHEME;Info;0;Create New DB;New database\ncreated!;A new database scheme has been successfully activated. 
49;DB_CREATE_NEW_SCHEME_FAILED;Error;0;Create New DB Failed;Create new\ndatabase\nfailed!;Internal database error. Buildup of a new database failed, the scheme couldn't be applied.
43;DB_INSERT_RECIPE;Warning;0;DB Ins.Recipe Failed;Database access\ninsert recipe\nfailed!;Internal database error. Insertion of a new recipe failed.
47;DB_QUERY_COUNTER;Warning;0;DB Delta.Cnt. Failed;Database access\nquery counter\nfailed!;Internal database error. Database request for a counter failed.
41;DB_QUERY_STATISTICS_RESULT;Warning;0;DB Query Stat. Failed;Database access\nquery statistics\nresult failed!;Internal database error. Query of statistics database result failed.
46;DB_RESET_COUNTER;Warning;0;DB Reset.Cnt. Failed;Database access\nreset counter\nfailed!;Internal database error. Reset of counters failed.
39;DB_UPDATE_FAILED;Error;0;DB Update Failed;Database update\nfailed!;Internal database error. Database update failed.
5;DDD1_FAILED;Error;0;DDD 1 Failed!;DDD 1 sensor\nfailed!;DDD 1 (coarse) sensor is not available or sensor data invalid. DDD display is invalid and AGSA deactivated.
11;DDD2_FAILED;Error;0;DDD 2 Failed!;DDD 2 sensor\nfailed!;DDD 2 (fine) sensor is not available or sensor data invalid. DDD display is invalid and AGSA deactivated.
